controller,timestamp,step,hour,ambient_c,it_kw,dhw_demand_kw,process_demand_kw,cooling_demand_kw,grid_available,grid_roster_available,site_captured_kw,captured_kw,hp_absorbed_kw,hp_compressor_kw,hp_delivered_kw,hp_units_on,dhw_heat_kw,process_heat_kw,absorption_heat_kw,orc_heat_kw,store_charge_kw,store_discharge_kw,store_energy_kwh,store_soc,store_standing_loss_kw,buffer_charge_kw,buffer_discharge_kw,buffer_energy_kwh,buffer_standing_loss_kw,rejected_kw,absorption_cooling_kw,orc_electric_kw,fallback_dhw_kw,fallback_process_kw,fallback_cooling_kw,baseline_rejection_electric_kw,actual_rejection_electric_kw,cooling_electric_saving_kw,grid_electric_kw,diesel_electric_kw,net_cost_inr,source_balance_residual_kw,hp_balance_residual_kw,store_balance_residual_kw,buffer_balance_residual_kw
naive,2026-01-05 02:45:00,11,2.75,25.10994,2685.33,86.18907,3.537248,26.3202,1,1,1879.731,1879.414,542.6257,298.4102,841.0359,2,0,0,41.03591,800,0,90.24793,679.315,0.3396575,0.4420312,0.3172331,0,250,0.3172331,1336.788,31.1512,57.73036,0,1.43277,0,342.5224,243.588,98.93443,541.9982,0,1021.521,0,0,1.729172e-13,4.263256e-14
naive,2026-01-05 03:00:00,12,3,24.91627,2698.6,96.15761,3.304912,30.207,1,1,1889.02,1888.703,542.2557,298.2471,840.5028,2,0,0,40.5028,800,0,90.20446,656.657,0.3283285,0.4277547,0.3172331,0,250,0.3172331,1346.447,30.80926,57.93405,8.177022,1.081036,0,34.00237,24.23605,9.766313,322.4831,0,595.7606,0,5.684342e-14,-6.62248e-14,4.263256e-14
naive,2026-01-05 03:15:00,13,3.25,24.80631,2703.8,92.10721,1.808574,21.59544,1,1,1892.66,1892.343,542.2132,298.2283,840.4415,2,0,0,40.44148,800,0,90.91662,633.8244,0.3169122,0.4134873,0.3172331,0,250,0.3172331,1350.13,30.79819,58.0497,3.497627,0,0,34.06788,24.30233,9.765547,322.5307,0,585.7888,0,0,-1.375011e-13,4.263256e-14
naive,2026-01-05 03:30:00,14,3.5,24.66323,2724.822,98.79992,2.898791,26.19399,1,1,1907.375,1907.058,541.6097,297.9623,839.572,2,0,0,39.57199,800,0,91.13085,610.9419,0.305471,0.3991099,0.3172331,0,250,0.3172331,1365.448,30.18133,58.20019,9.940505,0.6273632,0,34.33275,24.57807,9.754685,322.5404,0,597.8351,0,1.136868e-13,8.876233e-14,4.263256e-14
naive,2026-01-05 03:45:00,15,3.75,24.66999,2697.693,84.06794,1.393064,19.08484,1,1,1888.385,1888.068,541.3658,297.8548,839.2206,2,0,0,39.22058,800,0,91.83537,587.8869,0.2939435,0.3847012,0.3172331,0,250,0.3172331,1346.702,29.91119,58.19307,0,0,0,33.99094,24.24064,9.750295,322.0954,0,578.7236,0,-5.684342e-14,1.739164e-13,4.263256e-14
naive,2026-01-05 04:00:00,16,4,24.61157,2713.852,107.1703,0.4146605,31.99747,1,1,1899.696,1899.379,540.7453,297.5812,838.3265,2,0,0,38.32654,800,0,91.43697,564.9351,0.2824676,0.3701838,0.3172331,0,250,0.3172331,1358.634,29.24726,58.25451,17.9891,0,2.750206,34.19453,24.45541,9.739126,322.5328,0,610.5605,0,0,-1.729172e-13,4.263256e-14
naive,2026-01-05 04:15:00,17,4.25,24.51884,2704.956,115.0865,0,31.65847,1,1,1893.469,1893.152,540.8936,297.6466,838.5402,2,0,0,38.54019,800,0,92.38686,541.7495,0.2708747,0.3557314,0.3172331,0,250,0.3172331,1352.258,29.43889,58.35205,24.8471,0,2.219571,34.08244,24.34065,9.741795,322.387,0,621.9891,0,-5.684342e-14,1.244005e-13,4.263256e-14
naive,2026-01-05 04:30:00,18,4.5,24.37221,2701.106,156.6919,0,33.98564,1,1,1890.774,1890.457,541.0066,297.6964,838.703,2,0,0,38.70295,800,0,93.64795,518.2522,0.2591261,0.3411317,0.3172331,0,250,0.3172331,1349.45,29.60863,58.50627,65.07213,0,4.377017,34.03393,24.29011,9.743828,322.7725,0,691.9748,0,1.136868e-13,-6.328271e-15,4.263256e-14
naive,2026-01-05 04:45:00,19,4.75,24.30465,2706.543,198.5939,0,30.24891,1,1,1894.58,1894.263,541.2175,297.7894,839.0069,2,0,0,39.00689,800,0,96.96605,493.9291,0.2469646,0.3263358,0.3172331,0,250,0.3172331,1353.045,29.86222,58.57731,103.5493,0,0.3866865,34.10244,24.35481,9.747625,322.2136,0,757.1501,0,0,3.563816e-14,4.263256e-14
naive,2026-01-05 05:00:00,20,5,24.28156,2708.075,231.1466,0,28.84455,1,1,1895.653,1895.335,541.2352,297.7972,839.0324,2,0,0,39.03238,800,0,102.0474,468.3395,0.2341697,0.3110199,0.3172331,0,250,0.3172331,1354.1,29.88895,58.60161,130.9245,0,0,34.12175,24.3738,9.747944,322.171,0,804.2599,0,-5.684342e-14,7.610579e-14,4.263256e-14
naive,2026-01-05 05:15:00,21,5.25,24.23111,2698.863,299.8772,0,35.5454,1,1,1889.204,1888.887,541.1897,297.7771,838.9668,2,0,0,38.96683,800,0,108.195,441.217,0.2206085,0.2949065,0.3172331,0,250,0.3172331,1347.697,29.85448,58.65466,193.4206,0,5.690923,34.00567,24.25854,9.747125,323.0547,0,913.7735,0,0,8.698597e-14,4.263256e-14
naive,2026-01-05 05:30:00,22,5.5,24.39488,2704.24,372.0847,0,20.79182,1,1,1892.968,1892.651,541.4262,297.8814,839.3076,2,0,0,39.30763,800,0,116.9079,411.9206,0.2059603,0.2778279,0.3172331,0,250,0.3172331,1351.224,30.06408,58.48242,256.8362,0,0,34.07342,24.32204,9.751382,322.2034,0,1021.657,0,0,8.448797e-14,4.263256e-14
naive,2026-01-05 05:45:00,23,5.75,24.5284,2695.647,448.0151,1.904188,20.07648,0,1,1886.953,1886.636,541.0577,297.719,838.7767,2,0,0,38.77668,800,0,128.0025,379.8551,0.1899276,0.2593804,0.3172331,0,250,0.3172331,1345.578,29.61658,58.34199,321.5999,0.3169484,0,33.96515,24.2204,9.744749,0,321.9394,2260.338,0,5.684342e-14,3.469447e-14,4.263256e-14
naive,2026-01-05 06:00:00,24,6,24.18627,2742.848,515.0697,1.737672,28.36938,0,0,1919.993,1919.676,540.6945,297.5588,838.2533,2,0,0,38.25329,800,0,141.4157,344.4414,0.1722207,0.2391892,0.3172331,0,250,0.3172331,1378.982,29.32152,58.70182,375.2544,0.1372262,0,34.55988,24.82167,9.738211,0,322.3805,2354.604,0,0,-1.229572e-13,4.263256e-14
naive,2026-01-05 06:15:00,25,6.25,23.96593,2766.064,558.1476,1.061285,24.47601,0,0,1936.245,1935.928,540.6597,297.5435,838.2032,2,0,0,38.20316,800,0,156.4314,305.2793,0.1526397,0.2168897,0.3172331,0,250,0.3172331,1395.268,29.35044,58.93356,403.3222,0,0,34.85241,25.11483,9.737584,0,322.6583,2404.051,0,0,-5.784262e-14,4.263256e-14
naive,2026-01-05 06:30:00,26,6.5,23.98155,2763.127,614.6943,0,25.69546,0,0,1934.189,1933.872,540.4885,297.468,837.9565,2,0,0,37.95651,800,0,171.9228,262.2506,0.1311253,0.1922299,0.3172331,0,250,0.3172331,1393.383,29.1562,58.91713,444.3565,0,0,34.8154,25.0809,9.734503,0,322.5489,2474.252,0,0,-1.102729e-13,4.263256e-14
naive,2026-01-05 06:45:00,27,6.75,23.97459,2806.22,621.9565,0,21.11333,0,0,1964.354,1964.037,540.3715,297.4164,837.7879,2,0,0,37.78794,800,0,188.3218,215.1289,0.1075644,0.1651353,0.3172331,0,250,0.3172331,1423.665,29.02882,58.92446,435.1611,0,0,35.35837,25.62597,9.732397,0,323.0424,2461.096,0,5.684342e-14,7.049916e-14,4.263256e-14
naive,2026-01-05 07:00:00,28,7,24.06015,2836.801,626.3227,2.54765,31.64796,0,0,1985.761,1985.444,651.3784,329.4667,980.845,2,141.9569,1.471773,37.4163,800,0,60.37999,200,0.1,0.1354635,0.3172331,0,250,0.3172331,1334.065,28.71771,58.83447,423.9857,1.075876,2.930251,35.7437,24.01317,11.73052,0,354.0028,2614.058,0,0,-3.413936e-15,4.263256e-14
naive,2026-01-05 07:15:00,29,7.25,24.15458,2846.926,618.3688,1.834627,21.57304,0,0,1992.848,1992.531,1098.04,457.9754,1556.015,4,216.9571,1.508873,37.54909,800,500,0,324.9685,0.1624843,0.1259371,0.3172331,0,250,0.3172331,894.4913,28.79127,58.73515,401.4116,0.3257547,0,35.87127,16.10084,19.77042,0,474.0763,3234.34,0,-5.684342e-14,1.24345e-13,4.263256e-14
naive,2026-01-05 07:30:00,30,7.5,24.50422,2836,567.5945,0,12.70057,0,0,1985.2,1984.883,539.9863,297.2466,837.233,2,0,0,37.23296,800,0,231.8573,266.953,0.1334765,0.2046279,0.3172331,0,250,0.3172331,1444.896,28.44472,58.36742,337.2569,0,0,35.7336,26.00813,9.725464,0,323.2548,2294.006,0,0,4.884981e-14,4.263256e-14
naive,2026-01-05 07:45:00,31,7.75,24.43811,2847.246,537.181,0.2543475,20.62806,0,0,1993.072,1992.755,539.5233,297.0425,836.5657,2,0,0,36.56574,800,0,242.6875,206.2391,0.1031196,0.1680964,0.3172331,0,250,0.3172331,1453.231,27.95433,58.43695,295.9643,0,0,35.87529,26.15817,9.717129,0,323.2007,2222.4,0,5.684342e-14,2.733924e-14,4.263256e-14
naive,2026-01-05 08:00:00,32,8,24.47765,2866.078,483.488,216.1234,28.8145,0,0,2006.254,2005.937,715.5394,347.7973,1063.337,3,225.6389,1.432696,36.26501,800,0,24.82673,200,0.1,0.1298658,0.3172331,0,250,0.3172331,1290.398,27.71295,58.39536,233.0223,214.6907,1.101554,36.11258,23.22716,12.88542,0,371.2226,2748.335,0,1.136868e-13,5.551115e-16,4.263256e-14
naive,2026-01-05 08:15:00,33,8.25,24.84018,2901.85,413.9293,215.3036,31.62215,0,0,2031.295,2030.978,1133.148,468.6266,1601.774,4,257.5269,7.938476,36.30885,800,500,0,324.9685,0.1624843,0.1259371,0.3172331,0,250,0.3172331,897.83,27.64115,58.01408,156.4024,207.3652,3.980996,36.56331,16.16094,20.40237,0,485.5091,3232.533,0,-5.684342e-14,1.24345e-13,4.263256e-14
naive,2026-01-05 08:30:00,34,8.5,25.02442,2900.06,323.2508,216.7477,27.32499,0,0,2030.042,2029.725,539.4517,297.0109,836.4626,2,0,0,36.46263,800,0,276.1645,255.8762,0.1279381,0.2046279,0.3172331,0,250,0.3172331,1490.273,27.70448,57.8203,61.1238,202.7102,0,369.2789,271.0912,98.18776,0,568.1021,3514.627,0,-5.684342e-14,-7.993606e-15,4.263256e-14
naive,2026-01-05 08:45:00,35,8.75,25.21635,2893.638,261.0503,223.0671,37.88601,1,0,2025.547,2025.23,584.6791,312.128,896.8071,2,40.52956,19.82917,36.44839,800,0,223.3438,200,0.1,0.1611215,0.3172331,0,250,0.3172331,1440.551,27.63769,57.61844,0,203.2379,10.24832,369.8817,263.0565,106.8252,577.056,0,1439.877,0,-5.684342e-14,7.21645e-16,4.263256e-14
naive,2026-01-05 09:00:00,36,9,25.26035,2953.103,223.3592,216.4486,44.82423,1,1,2067.172,2066.855,1150.543,475.5495,1626.092,4,263.795,25.47467,36.82235,800,500,0,324.9685,0.1624843,0.1259371,0.3172331,0,250,0.3172331,916.3121,27.9083,57.57217,0,190.9739,16.91593,377.8167,167.4742,210.3425,646.1155,0,1556.892,0,5.684342e-14,1.24345e-13,4.263256e-14
naive,2026-01-05 09:15:00,37,9.25,25.16383,2984.585,188.6839,223.4022,50.50946,1,1,2089.209,2088.892,540.1182,297.3048,837.423,2,0,0,37.423,800,0,293.3383,251.5828,0.1257914,0.2046279,0.3172331,0,250,0.3172331,1548.774,28.39243,57.67368,0,192.766,22.11703,381.105,282.521,98.584,583.8602,0,1435.359,0,-5.684342e-14,-7.993606e-15,4.263256e-14
naive,2026-01-05 09:30:00,38,9.5,25.31192,2990.012,143.6404,223.1469,53.78779,1,1,2093.008,2092.691,607.8201,320.6581,928.4782,2,54.58152,35.70892,38.18773,800,0,206.1728,200,0.1,0.158418,0.3172331,0,250,0.3172331,1484.871,28.92738,57.51792,0,187.438,24.86041,382.9359,271.6714,111.2645,596.8779,0,1452.379,0,-1.136868e-13,-4.996004e-16,4.263256e-14
naive,2026-01-05 09:45:00,39,9.75,25.45689,2971.153,106.2584,226.7132,58.58087,1,1,2079.807,2079.49,1157.817,479.4752,1637.292,4,257.7514,40.51502,39.02537,800,500,0,324.9685,0.1624843,0.1259371,0.3172331,0,250,0.3172331,921.6735,29.51664,57.36545,0,186.1982,29.06423,381.6341,169.1224,212.5117,653.9307,0,1564.517,0,0,1.24345e-13,4.263256e-14
naive,2026-01-05 10:00:00,40,10,25.43217,2989.39,94.62704,232.0133,73.13117,1,1,2092.573,2092.256,541.8931,298.0872,839.9803,2,0,0,39.98033,800,0,299.134,250.1339,0.1250669,0.2046279,0.3172331,0,250,0.3172331,1550.363,30.24682,57.39146,0,186.8434,42.88435,383.785,284.3418,99.44322,590.2941,0,1438.328,0,5.684342e-14,-7.993606e-15,4.263256e-14
naive,2026-01-05 10:15:00,41,10.25,25.48425,3020.547,73.72883,234.8212,85.29593,1,1,2114.383,2114.066,615.9564,324.8257,940.7822,2,49.69985,49.72713,41.35518,800,0,200.3779,200,0.1,0.1575056,0.3172331,0,250,0.3172331,1498.11,31.26973,57.33668,0,185.0941,54.0262,388.1929,275.0474,113.1456,609.7921,0,1474.368,0,1.136868e-13,1.296185e-14,4.263256e-14
naive,2026-01-05 10:30:00,42,10.5,25.62017,3040.591,54.6619,236.3339,92.2038,1,1,2128.413,2128.096,1160.839,482.2201,1643.059,4,245.879,54.13413,43.04625,800,500,0,324.9685,0.1624843,0.1259371,0.3172331,0,250,0.3172331,967.2569,32.50159,57.19373,0,182.1997,59.70221,391.8444,178.0736,213.7708,671.285,0,1592.522,0,-1.705303e-13,1.24345e-13,4.263256e-14
naive,2026-01-05 10:45:00,43,10.75,25.6452,3060.849,76.07374,239.969,99.37995,1,1,2142.594,2142.277,545.288,299.5839,844.8718,2,0,0,44.87184,800,0,299.8034,249.9665,0.1249833,0.2046279,0.3172331,0,250,0.3172331,1596.989,33.87099,57.1674,0,181.5977,65.50896,394.6552,294.1574,100.4978,605.8077,0,1460.558,0,0,-6.483702e-14,4.263256e-14
naive,2026-01-05 11:00:00,44,11,25.78393,3062.861,75.55281,237.11,111.4216,1,0,2144.003,2143.685,619.5068,327.7869,947.2937,2,37.9653,62.49856,46.8298,800,0,199.7086,200,0.1,0.1574002,0.3172331,0,250,0.3172331,1524.179,35.29695,57.02149,0,174.6114,76.12462,396.0278,281.5375,114.4903,623.3857,0,1483.827,0,0,1.196265e-14,4.263256e-14
naive,2026-01-05 11:15:00,45,11.25,25.94921,3090.266,79.57084,238.0278,129.0098,1,0,2163.186,2162.869,1164.338,485.1671,1649.505,4,234.0712,66.37881,49.05491,800,500,0,324.9685,0.1624843,0.1259371,0.3172331,0,250,0.3172331,998.5309,36.90923,56.84766,0,171.649,92.10058,400.9176,185.0644,215.8533,687.301,0,1606.743,0,-5.684342e-14,1.24345e-13,4.263256e-14
naive,2026-01-05 11:30:00,46,11.5,26.10704,3076.937,75.79701,236.1982,123.3045,1,0,2153.856,2153.539,550.0194,301.6697,851.6891,2,0,0,51.68907,800,0,300.8228,249.7116,0.1248558,0.2046279,0.3172331,0,250,0.3172331,1603.52,38.82591,56.68166,0,166.0879,84.47862,400.4771,298.1503,102.3268,615.5275,0,1453.79,0,0,-7.993606e-15,4.263256e-14
