scenario,series,horizon_hours,mae_kw,nmae
A,dhw_demand_kw,0.0,13.823961559607218,0.08753187158390248
A,dhw_demand_kw,1.0,14.12656940523588,0.08944795265586128
A,dhw_demand_kw,3.0,14.44529144944769,0.09146606713951438
A,dhw_demand_kw,6.0,13.744122349509434,0.0870263380973179
A,dhw_demand_kw,12.0,12.188751405476937,0.07717789276192347
A,process_demand_kw,0.0,43.068276789436894,0.4443802854707306
A,process_demand_kw,1.0,43.38744896854655,0.44767351739548344
A,process_demand_kw,3.0,43.927633667961,0.4532471657702795
A,process_demand_kw,6.0,44.42689080019049,0.45839852179104923
A,process_demand_kw,12.0,42.624406879519924,0.43980041713178775
A,cooling_demand_kw,0.0,24.744455501961237,0.12326492352969666
A,cooling_demand_kw,1.0,25.060509075510264,0.12483934975102613
A,cooling_demand_kw,3.0,25.56991274207547,0.12737695273040592
A,cooling_demand_kw,6.0,26.017347225451342,0.1296058551757842
A,cooling_demand_kw,12.0,25.57623447110498,0.12740844453047143
B,dhw_demand_kw,0.0,19.90153888956286,0.08739712023651845
B,dhw_demand_kw,1.0,20.33781450162063,0.08931301389352957
B,dhw_demand_kw,3.0,20.797281505424657,0.09133075197896139
B,dhw_demand_kw,6.0,19.8480492530807,0.08716222180896566
B,dhw_demand_kw,12.0,17.543273935580597,0.07704085749339734
B,process_demand_kw,0.0,34.461565875993955,0.44446985180686893
B,process_demand_kw,1.0,34.716913277757975,0.4477632083023259
B,process_demand_kw,3.0,35.149080435066146,0.45333710686096235
B,process_demand_kw,6.0,35.54851544127284,0.4584888407854744
B,process_demand_kw,12.0,34.092463356723286,0.43970933272215557
B,cooling_demand_kw,0.0,12.189030468938073,0.12926601059384873
B,cooling_demand_kw,1.0,12.332652538043702,0.13078913845490625
B,cooling_demand_kw,3.0,12.568033652032266,0.1332853810930698
B,cooling_demand_kw,6.0,12.777276493498833,0.13550442447233052
B,cooling_demand_kw,12.0,12.497859610299626,0.13254117765169346
C,dhw_demand_kw,0.0,25.019498746367617,0.08733456360561416
C,dhw_demand_kw,1.0,25.568336688049893,0.08925037025757532
C,dhw_demand_kw,3.0,26.146325763089475,0.09126793360483156
C,dhw_demand_kw,6.0,24.988198224509134,0.08722530412584399
C,dhw_demand_kw,12.0,22.052345539878413,0.0769772405806133
C,process_demand_kw,0.0,60.281698616322764,0.44427792394371535
C,process_demand_kw,1.0,60.72852035012374,0.44757101350194944
C,process_demand_kw,3.0,61.48474013375069,0.4531443759523562
C,process_demand_kw,6.0,62.183641518025794,0.4582953000831346
C,process_demand_kw,12.0,59.688293925113214,0.4399045135999389
C,cooling_demand_kw,0.0,9.77023973661437,0.12547192739755242
C,cooling_demand_kw,1.0,9.891900541555197,0.1270343266933913
C,cooling_demand_kw,3.0,10.088259620897638,0.12955602040933714
C,cooling_demand_kw,6.0,10.26221669274078,0.1317900217928239
C,cooling_demand_kw,12.0,10.053011923435147,0.1291033604279888
