scenario,count,mean,std,min,5%,50%,95%,max
A,50.0,0.8719925778490777,0.23712398139722063,0.5380787483336962,0.5928855067524249,0.7982477470561868,1.279697328106791,1.5579749680553654
B,50.0,1.4684865993977518,0.34614558197420886,0.8634554405033519,0.9434542097773561,1.4386049340933427,2.0373877839536254,2.1369888469758216
C,50.0,5.6943357887379795,0.589185218683885,4.609415194492947,4.848835475080726,5.647257822527314,6.604944354973948,6.986327804682267
