scenario,parameter_draw,mpc_improvement_percent,max_balance_residual_kw
A,0,0.745379227475464,4.829470157119431e-13
A,1,0.7190348061630971,4.82058837292243e-13
A,2,1.087705026853044,4.831690603168681e-13
A,3,1.3292624165570261,4.779510121011299e-13
A,4,0.578383700006016,4.811151477213116e-13
A,5,1.2966359074915492,4.828359934094806e-13
A,6,0.610609937220258,4.811706588725428e-13
A,7,1.1993174677402867,4.818367926873179e-13
A,8,0.8031093226336291,4.823919041996305e-13
A,9,0.7528728676718296,4.82502926502093e-13
A,10,0.7529645246399747,4.829470157119431e-13
A,11,0.8118944463094625,4.831690603168681e-13
A,12,0.7183910548087745,4.816147480823929e-13
A,13,0.6583167673035731,4.82058837292243e-13
A,14,0.8177133360598794,4.829470157119431e-13
A,15,1.0047184033362975,4.83113549165637e-13
A,16,0.6330124440324547,4.819478149897807e-13
A,17,0.8628687928501844,4.82058837292243e-13
A,18,0.88879271501747,4.827249711070183e-13
A,19,0.7769498559413408,4.823919041996305e-13
A,20,1.2119487227095609,4.831690603168681e-13
A,21,1.248374697708024,4.82058837292243e-13
A,22,0.6883162638728573,4.829470157119431e-13
A,23,0.7688357963739345,4.829470157119431e-13
A,24,0.6359394910750888,4.827249711070183e-13
A,25,0.9147303389557558,4.831690603168681e-13
A,26,0.7543200526278937,4.813927034774679e-13
A,27,0.969152785354787,4.827249711070183e-13
A,28,0.9834180762853721,4.82502926502093e-13
A,29,0.7348973057794589,4.828359934094806e-13
A,30,0.7878496131467104,4.82280881897168e-13
A,31,0.8857712471355765,4.831690603168681e-13
A,32,0.6283457500961392,4.827249711070183e-13
A,33,0.817950798692983,4.829470157119431e-13
A,34,1.1063115827322167,4.819478149897807e-13
A,35,1.2589946199698645,4.826694599557868e-13
A,36,0.5698853109225039,4.826694599557868e-13
A,37,1.2494390762477459,4.827249711070183e-13
A,38,1.5579749680553654,4.818367926873179e-13
A,39,0.7265009416171023,4.829470157119431e-13
A,40,0.6682792086071565,4.806155473602305e-13
A,41,0.5380787483336962,4.831690603168681e-13
A,42,0.6520280391998262,4.82502926502093e-13
A,43,0.757035124292644,4.803935027553052e-13
A,44,1.016803392890079,4.827249711070183e-13
A,45,0.7016270139590741,4.82280881897168e-13
A,46,0.8186142703171415,4.82280881897168e-13
A,47,0.7933861714787446,4.831690603168681e-13
A,48,1.2435071785232885,4.813927034774679e-13
A,49,0.863379285381686,4.829470157119431e-13
B,0,1.6704110362312816,4.813927034774679e-13
B,1,1.5194678835696565,4.82280881897168e-13
B,2,1.2978703696578058,4.797273689405301e-13
B,3,1.2860391966067508,4.830580380144056e-13
