scenario,baseline,mean,std
A,naive,20.37893792468749,0.15249169492389533
A,tuned,0.6902644054276527,0.011903508231750074
B,naive,37.15591149620226,1.1032411832594466
B,tuned,1.635249610539691,0.07098054232260372
C,naive,41.58254496634009,0.8618931932662621
C,tuned,5.5592268457643375,0.2562954523498711
